titre,titre_original,score,genre,date,duree,synopsis,public,acteurs,langue_originale,pays_original
Rebecca,,8.1,"Drama,Mystery,Romance","May 22, 1947 (France)","2,h, ,10,m",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Tous publics,"Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,Nigel Bruce,Reginald Denny,C. Aubrey Smith,Gladys Cooper,Florence Bates,Melville Cooper,Leo G. Carroll,Leonard Carey,Lumsden Hare,Edward Fielding,Philip Winter,Forrester Harvey,Bunny Beatty,Billy Bevan",English,United States
Spotlight,,8.1,"Biography,Crime,Drama","January 27, 2016 (France)","2,h, ,9,m","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Tous publics,"Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,John Slattery,Brian d'Arcy James,Stanley Tucci,Elena Wohl,Gene Amoroso,Doug Murray,Sharon McFarlane,Jamey Sheridan,Neal Huff,Billy Crudup,Robert B. Kennedy,Duane Murray,Brian Chamberlain,Michael Cyril Creighton",English,United States
Monstres & Cie,"Original title: Monsters, Inc.",8.1,"Animation,Adventure,Comedy","March 20, 2002 (France)","1,h, ,32,m","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",Tous publics,"Billy Crystal,John Goodman,Mary Gibbs,Steve Buscemi,James Coburn,Jennifer Tilly,Bob Peterson,John Ratzenberger,Frank Oz,Daniel Gerson,Steve Susskind,Bonnie Hunt,Jeff Pidgeon,Samuel Lord Black,Jack Angel,Bob Bergen,Rodger Bumpass,Gino Conforti",English,United States
Platoon,,8.1,"Drama,War","March 25, 1987 (France)","2,h","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",12,"Charlie Sheen,Tom Berenger,Willem Dafoe,Keith David,Forest Whitaker,Francesco Quinn,Kevin Dillon,John C. McGinley,Reggie Johnson,Mark Moses,Corey Glover,Johnny Depp,Chris Pedersen,Bob Orwig,Corkey Ford,David Neidorf,Richard Edson,Tony Todd",English,United States
Silent Voice,Original title: Koe no katachi,8.2,"Animation,Drama","August 22, 2018 (France)","2,h, ,10,m","A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",Tous publics,"Miyu Irino,Saori Hayami,Aoi Yûki,Kenshô Ono,Yûki Kaneko,Yui Ishikawa,Megumi Han,Toshiyuki Toyonaga,Mayu Matsuoka,Sachiko Kojima,Hana Takeda,Fuminori Komatsu,Ikuko Tani,Erena Kamata,Ayano Hamaguchi,Ryunosuke Watanuki,Ryô Nishitani,Takuya Masumoto",Japanese,Japan
Fanny et Alexandre,Original title: Fanny och Alexander,8.1,,"March 9, 1983 (France)","3,h, ,8,m","Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.",Not Rated,"Bertil Guve,Pernilla Allwin,Kristina Adolphson,Börje Ahlstedt,Kristian Almgren,Carl Billquist,Axel Düberg,Allan Edwall,Siv Ericks,Ewa Fröling,Patricia Gélin,Majlis Granlund,Maria Granlund,Eva von Hanno,Sonya Hedenbratt,Olle Hilding,Svea Holst,Jarl Kulle",Swedish,Sweden
La Haine,Original title: La haine,8.1,"Crime,Drama","May 31, 1995 (France)","1,h, ,38,m",24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Tous publics,"Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Abdel Ahmed Ghili,Solo,Joseph Momo,Héloïse Rauth,Rywka Wajsbrot,Olga Abrego,Laurent Labasse,Choukri Gabteni,Nabil Ben Mhamed,Benoît Magimel,Médard Niang,Arash Mansour,Abdel-Moulah Boujdouni,Mathilde Vitry,Christian Moro",French,France
Les Quatre Cents Coups,Original title: Les quatre cents coups,8.1,"Crime,Drama","June 3, 1959 (France)","1,h, ,39,m","A young boy, left without attention, delves into a life of petty crime.",Tous publics,"Jean-Pierre Léaud,Albert Rémy,Claire Maurier,Guy Decomble,Georges Flamant,Patrick Auffay,Daniel Couturier,François Nocher,Richard Kanayan,Renaud Fontanarosa,Michel Girard,Serge Moati,Bernard Abbou,Jean-François Bergouignan,Michel Lesignor,Luc Andrieux,Robert Beauvais,Bouchon",French,France
Hatchi,Original title: Hachi: A Dog's Tale,8.1,"Biography,Drama,Family","June 9, 2010 (France)","1,h, ,33,m",A college professor bonds with an abandoned dog he takes into his home.,Tous publics,"Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,Sarah Roemer,Jason Alexander,Erick Avari,Davenia McFadden,Robbie Sublett,Kevin DeCoste,Rob Degnan,Tora Hallström,Donna Sorbello,Frank S. Aronson,Troy Doherty,Ian Sherman,Timothy Crowe,Denece Ryland,Blake Friedman",English,United Kingdom
Luke la main froide,Original title: Cool Hand Luke,8.1,"Crime,Drama","December 1, 1967 (France)","2,h, ,7,m","A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",12,"Paul Newman,George Kennedy,Strother Martin,J.D. Cannon,Lou Antonio,Robert Drivas,Jo Van Fleet,Clifton James,Morgan Woodward,Luke Askew,Marc Cavell,Richard Davalos,Robert Donner,Warren Finnerty,Dennis Hopper,John McLiam,Wayne Rogers,Harry Dean Stanton",English,United States
Gangs of Wasseypur,,8.2,"Action,Comedy,Crime","June 22, 2012 (India)","5,h, ,21,m","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Tous publics avec avertissement,"Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,Tigmanshu Dhulia,Jameel Khan,Piyush Mishra,Jaideep Ahlawat,Huma Qureshi,Zeishan Quadri,Vipin Sharma,Satyakam Anand,Aditya Kumar,Rajkummar Rao,Vineet Kumar Singh,Sankalp Acharekar,Aditya,Akshat,Hasrat Ali",Hindi,India
,Original title: Network,8.1,Drama,"March 16, 1977 (France)","2,h, ,1,m","A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",Tous publics,"Faye Dunaway,William Holden,Peter Finch,Robert Duvall,Wesley Addy,Ned Beatty,Arthur Burghardt,Bill Burrows,John Carpenter,Jordan Charney,Kathy Cronkite,Ed Crowley,Jerome Dempsey,Conchata Ferrell,Gene Gross,Stanley Grover,Cindy Grover,Darryl Hickman",English,United States
,Original title: Stand by Me,8.1,"Adventure,Drama","February 25, 1987 (France)","1,h, ,29,m","After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Tous publics,"Wil Wheaton,River Phoenix,Corey Feldman,Jerry O'Connell,Kiefer Sutherland,Casey Siemaszko,Gary Riley,Bradley Gregg,Jason Oliver Lipsett,Marshall Bell,Frances Lee McCain,Bruce Kirby,William Bronder,Scott Beach,Richard Dreyfuss,John Cusack,Madeleine Swift,Popeye",English,United States
Logan,,8.1,"Action,Drama,Sci-Fi","March 1, 2017 (France)","2,h, ,17,m","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",12 avec avertissement,"Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,Stephen Merchant,Elizabeth Rodriguez,Richard E. Grant,Eriq La Salle,Elise Neal,Quincy Fouse,Al Coronel,Frank Gallegos,Anthony Escobar,Reynaldo Gallegos,Krzysztof Soszynski,Stephen Dunlevy,Daniel Bernhardt,Ryan Sturz",English,United States
Mademoiselle,Original title: Ah-ga-ssi,8.1,"Drama,Romance,Thriller","November 1, 2016 (France)","2,h, ,25,m","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",12,"Kim Min-hee,Ha Jung-woo,Cho Jin-woong,Moon So-ri,Kim Tae-ri,Yong-nyeo Lee,Min-chae Yoo,Dong-hwi Lee,Kim Hae-sook,Kyu-jung Lee,Si-eun Kim,Si-yeon Ha,Rina Takagi,Geun-hee Won,Jong-Dae Kim,Han-sun Jang,Eun-yeong Kim,Ri-woo Kim",Korean,South Korea
Million Dollar Baby,,8.1,"Drama,Sport","March 23, 2005 (France)","2,h, ,12,m",A determined woman works with a hardened boxing trainer to become a professional.,Tous publics,"Hilary Swank,Clint Eastwood,Morgan Freeman,Jay Baruchel,Mike Colter,Lucia Rijker,Brían F. O'Byrne,Anthony Mackie,Margo Martindale,Riki Lindhome,Michael Peña,Benito Martinez,Bruce MacVittie,David Powledge,Joe D'Angerio,Marcus Chait,Tom McCleister,Erica Grant",English,United States
Le salaire de la peur,,8.1,"Adventure,Drama,Thriller","April 22, 1953 (France)","2,h, ,36,m","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Tous Public,"Yves Montand,Charles Vanel,Peter van Eyck,Folco Lulli,Véra Clouzot,William Tubbs,Darío Moreno,Jo Dest,Antonio Centa,Luis De Lima,Grégoire Gromoff,Josep Palau i Fabre,Faustini,Seguna,Darling Légitimus,René Baranger,Pat Hurst,Evelio Larenagas",French,France
